smmp_id,depthpos,node_id,x_smmp,y_smmp,z_surface,install_year,next_tree_id,next_tree_dist,tree_pos,smmp_type,profiledepth_cm,sampling_date_core,fc_vol_perc,ks_m_s,bulkdens_kg_m3,porosity_sat_vol_perc,porosity_calc_vol_perc,gravel_grav_perc,sand_grav_perc,silt_grav_perc,clay_grav_perc,textureclass,textureclass_ger
232,b,44,598804.22,5662771.01,367.63,2014,174,2.1,far,kt,34,10.10.14,45.71,,1.43,47.2,46.1,,,,,,
232,t,44,598804.22,5662771.01,367.63,2014,174,2.1,far,kt,34,10.10.14,46.01,0.00000273,1.19,56.6,55.2,,,,,,
233,b,36,598812.85,5662756.48,368.51,2014,221,3.39,far,kt,32,14.10.14,52.05,,1.3,53.9,51,,,,,,
233,t,36,598812.85,5662756.48,368.51,2014,221,3.39,far,kt,32,14.10.14,50.3,0.0000072,1.15,55.5,56.6,,,,,,
234,b,39,598810.76,5662763.06,368.16,2014,214,2.05,far,kt,42,15.10.14,39.76,0.00000549,,46.9,,,,,,,
234,t,39,598810.76,5662763.06,368.16,2014,214,2.05,far,kt,42,15.10.14,42.95,0.000059,1.03,57.7,61.2,,,,,,
235,b,66,598815.71,5662790.85,366.05,2014,130,1.38,far,kt,41,16.10.14,39.9,0.00000237,1.46,44.2,45.1,0.06,1.68,72.68,25.58,SiL,Tu4
235,t,66,598815.71,5662790.85,366.05,2014,130,1.38,far,kt,41,16.10.14,45.44,0.0000307,1.15,56.5,56.8,0.03,2.67,74.38,22.92,SiL,Tu4
236,b,61,598809.97,5662788.68,366.25,2014,131,2.18,far,kt,33,,,,,,,,,,,,
236,t,61,598809.97,5662788.68,366.25,2014,131,2.18,far,kt,33,,,0.0000273,,,,,,,,,
237,b,65,598827.72,5662776.27,367.09,2014,189,1.19,far,kt,40,,,,,,,,,,,,
237,t,65,598827.72,5662776.27,367.09,2014,189,1.19,far,kt,40,15.10.14,41.79,,1.32,48.3,50.2,,,,,,
238,b,23,598848.26,5662760.62,367.8,2014,637,1.02,far,kt,39,,33.94,0.000085,1.32,55.6,50.2,,,,,,
238,t,23,598848.26,5662760.62,367.8,2014,637,1.02,far,kt,39,,48.83,0.000067,1.33,64.4,50.1,,,,,,
239,b,32,598842.29,5662796.51,365.29,2014,806,1.43,far,kt,38,22.10.14,46.48,,1.33,47.5,50.1,,,,,,
239,t,32,598842.29,5662796.51,365.29,2014,806,1.43,far,kt,38,22.10.14,45.55,0.0000168,1.14,53.3,57.2,,,,,,
240,b,51,598844.43,5662829.58,362.69,2014,1018,1.49,far,kt,46,27.10.14,41.08,0.000417,1.16,58.9,56.5,,,,,,
240,t,51,598844.43,5662829.58,362.69,2014,1018,1.49,far,kt,46,27.10.14,48.27,0.000232,1.08,61.7,59.4,,,,,,
241,b,40,598854.39,5662753.8,368.11,2015,597,2.28,far,kt,35,,45.42,0.000034,1.05,69.7,60.4,,,,,,
241,t,40,598854.39,5662753.8,368.11,2015,597,2.28,far,kt,35,30.03.15,42.53,0.0000166,1.38,50.9,48.2,,,,,,
242,b,27,598855.6,5662785.48,365.98,2014,744,1.77,far,kt,52,23.10.14,44.57,0.000004,1.28,48.8,51.8,,,,,,
242,t,27,598855.6,5662785.48,365.98,2014,744,1.77,far,kt,52,23.10.14,49.76,0.0000197,1.15,56.9,56.6,,,,,,
243,b,55,598854.25,5662815.45,363.84,2014,845,1.75,far,kt,38,28.10.14,46.13,0.0000298,1.25,51.3,52.9,,,,,,
243,t,55,598854.25,5662815.45,363.84,2014,845,1.75,far,kt,38,28.10.14,44.11,0.00000349,1.25,51.4,53.2,,,,,,
244,b,56,598853.33,5662828.71,362.83,2014,1013,0.62,close,kt,42,28.10.14,44.27,0.00000531,1.34,51.2,49.7,,,,,,
244,t,56,598853.33,5662828.71,362.83,2014,1013,0.62,close,kt,42,28.10.14,38.64,,1.25,48.9,52.9,,,,,,
245,b,3,598880.91,5662756.81,367.29,2015,606,1.63,far,kt,37,25.03.15,36.86,0.0000373,1.49,45.7,43.9,,,,,,
245,t,3,598880.91,5662756.81,367.29,2015,606,1.63,far,kt,37,25.03.15,41.18,0.000374,1.19,56.9,55.2,,,,,,
246,b,2,598886.21,5662767.6,366.69,2015,613,1.25,far,kt,40,26.03.15,61.78,,1.19,69.2,55.3,,,,,,
246,t,2,598886.21,5662767.6,366.69,2015,613,1.25,far,kt,40,26.03.15,44.19,0.000459,1.1,61.5,58.6,,,,,,
247,b,31,598886.93,5662784.8,365.66,2014,727,1.53,far,kt,56,,38.79,0.0000539,1.39,51.6,47.6,0,2.99,66,31.01,SiCL,Tu4
247,t,31,598886.93,5662784.8,365.66,2014,727,1.53,far,kt,56,,36.28,0.000145,1.12,56.2,57.8,0.04,3.19,70.21,26.56,SiL,Tu4
248,b,21,598888.59,5662793.36,365.06,2014,778,3.06,far,kt,30,,47.3,0.000000589,1.44,53.4,45.9,,,,,,
248,t,21,598888.59,5662793.36,365.06,2014,778,3.06,far,kt,30,,45.34,0.00000947,1.22,61.6,54.2,,,,,,
249,b,53,598893.78,5662790.3,365.13,2014,780,2.11,far,kt,30,12.11.14,50.14,,1.38,49.8,48.3,,,,,,
249,t,53,598893.78,5662790.3,365.13,2014,780,2.11,far,kt,30,12.11.14,40.43,0.00000356,1.38,45.7,48,,,,,,
251,b,7,598797,5662792.74,365.9,2014,143,1.42,far,kt,43,07.10.14,35.33,0.0000859,1.46,41.2,45,,,,,,
251,t,7,598797,5662792.74,365.9,2014,143,1.42,far,kt,43,07.10.14,45.35,0.0000361,1.04,58.1,60.9,,,,,,
252,b,62,598812.98,5662793.12,365.84,2014,118,3.11,far,kt,36,17.10.14,41.9,0.00000607,1.42,47.2,46.5,,,,,,
252,t,62,598812.98,5662793.12,365.84,2014,118,3.11,far,kt,36,17.10.14,48.09,0.000000108,1.2,53.2,54.9,,,,,,
253,b,24,598894.53,5662786.08,365.44,2014,781,1.16,far,kt,35,12.11.14,36.78,0.000000142,1.4,41.9,47.3,,,,,,
253,t,24,598894.53,5662786.08,365.44,2014,781,1.16,far,kt,35,12.11.14,39.02,0.00018,1.09,53.7,58.9,,,,,,
254,b,67,598895.05,5662798.01,364.67,2014,784,1.33,far,kt,35,11.11.14,38.66,0.0000541,1.41,41.4,46.9,,,,,,
254,t,67,598895.05,5662798.01,364.67,2014,784,1.33,far,kt,35,11.11.14,43.23,,1.07,54.3,59.9,,,,,,
255,b,67,598898.77,5662806.38,364.05,2014,786,2.86,far,kt,37,11.11.14,41.69,0.000012,1.36,45.8,49,,,,,,
